city,district,name,score,comment_number,month_sales_clean,avg_price_rmb,category1,delivery_time_clean,delivery_type_1,in_time_delivery_percent,min_price_rmb,shipping_fee_clean,lat,lng,Day_Time,Night_Time,Mid_Night_Time,recommend_Bin,district population in (10 thousands),population density (people/square kilometer),Rent,Female,Male,18 and below,19-24,25-34,35-44,45-54,55 and above,50 yuan and below,50-100 yuan,100-300 yuan,300 yuan,Shopping,Catering Service,Car Service,Leisure,Other,Medicare,Education,Beauty
Beijing,Fengtai District,Delicious Cake (Majiabao Store),5,661,780,101,SweetCake,30, MeituanRun ,76,0,0,39.839402,116.384472,1,1,0,1,201.9,6602,259.5,0.499,0.501,0.098,0.125,0.226,0.196,0.167,0.188,0.12,0.759,0.116,0.005,0.246,0.363,0.048,0.077,0.09,0.176,0,0
Beijing,Dongcheng District,People's Commune Home-cooked Cuisine (the first stall-Zhongteng Xinye Food City Store),4.6,7456,9999,21,Foods,32,MeituanFlash,83,20,0.5,39.892838,116.421058,1,1,0,1,70.9,16937,362.8,0.506,0.494,0.102,0.119,2.206,0.198,0.162,0.194,0.099,0.68,0.214,0.008,0.256,0.375,0.035,0.067,0.074,0.193,0,0
Beijing,Chaoyang District,Delai gathered donkey meat on fire (No. 2-Yidu Boat Food City Store),4.9,6305,4778,21,Foods,40,MeituanFlash,76,20,0,39.989664,116.484142,1,1,0,0,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Dongcheng District,Jibei North Stew Division (Anding Store),4.6,147,335,73,DessertDrink,73, MeituanRun ,17,50,5,39.943421,116.408618,1,1,0,1,70.9,16937,362.8,0.506,0.494,0.102,0.119,2.206,0.198,0.162,0.194,0.099,0.68,0.214,0.008,0.256,0.375,0.035,0.067,0.074,0.193,0,0
Beijing,Chaoyang District,Pirate Shrimp Rice · Quality Meal (Xinchenli Store),4.6,2116,3473,31,Foods,42,MeituanFlash,65,15,0,39.998008,116.408562,1,1,0,1,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Haidian District,Youxiu Warm Meal Light Food [Mixed Rice]],4.9,1622,1666,23,Foods,40,MeituanFlash,67,20,0,39.925178,116.298696,1,1,0,0,313.2,7271,398,0.505,0.495,0.1,0.125,0.216,0.21,0.162,0.187,0.106,0.728,0.156,0.009,0.233,0.383,0.04,0.068,0.077,0.199,0,0
Beijing,Tongzhou District,Paozi Huang La Flavor Paozi Rice (Liyuan Store),4.8,1322,3597,29,Foods,42,MeituanFlash,57,20,0,39.884673,116.666825,1,1,0,0,184,2030,234.2,0.504,0.496,0.104,0.122,0.221,0.197,0.165,0.192,0.153,0.727,0.117,0.003,0.247,0.336,0.05,0.071,0.099,0.197,0,0
Beijing,Dongcheng District,Kim's Korean flavor (No. 6-Zhongteng Xinye Food City Store),4.6,1041,1628,23,Foods,30,MeituanFlash,84,15,0,39.89281,116.421226,1,1,0,0,70.9,16937,362.8,0.506,0.494,0.102,0.119,2.206,0.198,0.162,0.194,0.099,0.68,0.214,0.008,0.256,0.375,0.035,0.067,0.074,0.193,0,0
Beijing,Haidian District,Chuangxiang Small Chef (No. 6 Shankou Xin Times Food City Store),4.5,2783,3662,21,Foods,42,MeituanFlash,51,20,0,39.979386,116.313061,1,1,0,0,313.2,7271,398,0.505,0.495,0.1,0.125,0.216,0.21,0.162,0.187,0.106,0.728,0.156,0.009,0.233,0.383,0.04,0.068,0.077,0.199,0,0
Beijing,Chaoyang District,Pirate Shrimp Rice · Quality Meal (Sanlitun Store),4.8,1277,3199,32,Foods,31,MeituanFlash,72,20,1,39.93286,116.45475,1,1,0,1,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Chaoyang District,Pirate Shrimp Rice · Quality Meal (Industrial Sports Store),4.9,2476,3342,33,Foods,40,MeituanFlash,87,20,0,39.935956,116.444198,1,1,0,1,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Fangshan District,Haomai · Net Red Creative Flower Cake (Fangshan Store),5,68,9,110,SweetCake,60, MeituanRun ,25,0,0,39.730619,116.15828,1,1,0,0,131.3,660,146.8,0.505,0.495,0.098,0.132,0.224,0.196,0.169,0.181,0.158,0.683,0.151,0.008,0.222,0.416,0.045,0.073,0.075,0.169,0,0
Beijing,Fengtai District,Light Food Pie (Songjiazhuang Store),4.7,2214,2083,22,Foods,50,MeituanFlash,78,15,0,39.849166,116.42796,1,1,0,0,201.9,6602,259.5,0.499,0.501,0.098,0.125,0.226,0.196,0.167,0.188,0.12,0.759,0.116,0.005,0.246,0.363,0.048,0.077,0.09,0.176,0,0
Beijing,Chaoyang District,Guzhen Crossing Bridge Rice Nian (Youth Road Store),4.6,3430,3749,16,Foods,38,MeituanFlash,82,0,2,39.934695,116.514188,0,1,1,1,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Shunyi District,Sinoe Baking High-end Custom Theme Cake,4.6,275,211,227,SweetCake,44, MeituanRun ,0,0,0,40.111969,116.554668,1,1,1,1,132.4,1298,128.8,0.497,0.503,0.104,0.123,0.226,0.196,0.165,0.185,0.116,0.696,0.185,0.002,0.257,0.369,0.032,0.064,0.071,0.207,0,0
Beijing,Chaoyang District,Yue Tian Fang net red birthday cake,4.6,708,586,79,SweetCake,42, MeituanRun ,0,0,0,39.919311,116.53519,1,1,0,1,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Changping District,Wallace Fried Chicken Burger (Lishuiqiao Store),4.5,2498,3783,18,Foods,42,MeituanFlash,57,20,0,40.057047,116.415153,1,1,0,0,226.9,1689,204.2,0.505,0.495,0.106,0.121,0.221,0.195,0.162,0.195,0.116,0.733,0.133,0.018,0.222,0.415,0.045,0.073,0.075,0.17,0,0
Beijing,Tongzhou District,Good Taste Braised Chicken and Rice (Fifth Grade Chujiang Renhe Food City Store),4.7,1558,3082,19,Foods,46,MeituanFlash,53,15,0,39.882745,116.669416,1,1,1,0,184,2030,234.2,0.504,0.496,0.104,0.122,0.221,0.197,0.165,0.192,0.153,0.727,0.117,0.003,0.247,0.336,0.05,0.071,0.099,0.197,0,0
Beijing,Chaoyang District,Pirate Shrimp Rice · Quality Meal (Huangsi Store),4.9,1512,2792,32,Foods,39,MeituanFlash,74,20,0,39.963286,116.389225,1,1,0,1,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Haidian District,Coco Mood Tea Drink (Fourth Grade-Aerospace Prosperity Food City Store),4.7,5210,7658,12,DessertDrink,40,MeituanFlash,88,15,0,39.923682,116.307661,1,1,0,1,313.2,7271,398,0.505,0.495,0.1,0.125,0.216,0.21,0.162,0.187,0.106,0.728,0.156,0.009,0.233,0.383,0.04,0.068,0.077,0.199,0,0
Beijing,Chaoyang District,Pirate Shrimp Rice · Quality Meal (Shangdu Store),4.8,3177,5819,33,Foods,40,MeituanFlash,77,20,0,39.918901,116.45326,1,1,0,1,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Chaoyang District,Too Good Porridge (Wangjing Store),4.3,1441,4764,19,Foods,33,MeituanFlash,70,20,0,39.990465,116.477864,1,1,0,0,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Haidian District,Wei Duomei Cake (Wenyang Road Store),4.4,877,2220,63,SweetCake,37,MeituanFlash,62,30,5,40.06785,116.1623,1,1,0,1,313.2,7271,398,0.505,0.495,0.1,0.125,0.216,0.21,0.162,0.187,0.106,0.728,0.156,0.009,0.233,0.383,0.04,0.068,0.077,0.199,0,0
Beijing,Chaoyang District,Mr.cake cake,4.9,1130,1643,79,SweetCake,100, MeituanRun ,0,0,0,39.995422,116.411561,0,1,1,1,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Daxing District,Spicy Pot (Yuhuayuan Store),4.8,3482,3943,23,Foods,41,MeituanFlash,68,15,0,39.771001,116.33174,1,1,0,0,199.4,1924,183.5,0.498,0.502,0.102,0.125,0.224,0.196,0.169,0.186,0.13,0.732,0.131,0.007,0.256,0.357,0.06,0.08,0.103,0.144,0,0
Beijing,Daxing District,Xiangdang greedy stinky tofu (No. 5-Qianzi Baiwei Food City Store),4.5,713,1299,20,Foods,35,MeituanFlash,79,20,2,39.736232,116.352874,1,1,1,0,199.4,1924,183.5,0.498,0.502,0.102,0.125,0.224,0.196,0.169,0.186,0.13,0.732,0.131,0.007,0.256,0.357,0.06,0.08,0.103,0.144,0,0
Beijing,Xicheng District,Yu nai tea,4.8,682,1064,12,DessertDrink,40,MeituanFlash,79,15,0,39.913695,116.344163,1,1,0,0,110.6,21888,263.1,0.505,0.495,0.101,0.12,0.226,0.201,0.161,0.192,0.098,0.682,0.213,0.007,0.245,0.392,0.034,0.065,0.061,0.203,0,0
Beijing,Chaoyang District,Sunrise Troop Hot Pot Noodles · North Korean Mibap (No. 1 Zhongfu Lubao Food City Store),4.8,2917,2269,23,Foods,40,MeituanFlash,72,15,0,39.983939,116.437795,1,1,0,1,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Chaoyang District,Pirate Shrimp Rice · Quality Meal (Communication University Store),4.9,3255,5136,32,Foods,40,MeituanFlash,81,20,0,39.916588,116.555306,1,1,0,0,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Daxing District,Kiln Chicken King (Xihongmen Store),4.7,758,1477,37,Foods,32, MeituanRun ,63,25,1,39.786527,116.323927,1,1,0,0,199.4,1924,183.5,0.498,0.502,0.102,0.125,0.224,0.196,0.169,0.186,0.13,0.732,0.131,0.007,0.256,0.357,0.06,0.08,0.103,0.144,0,0
Beijing,Shunyi District,Wangjing Barbecue Small Waist (Yangzhen Store),4.8,424,386,38,Foods,63, MeituanRun ,15,20,3,40.161902,116.820813,1,1,1,0,132.4,1298,128.8,0.497,0.503,0.104,0.123,0.226,0.196,0.165,0.185,0.116,0.696,0.185,0.002,0.257,0.369,0.032,0.064,0.071,0.207,0,0
Beijing,Daxing District,Sweet Rubik's Cube (Birthday Cake. Bread. Longhu Tianjie Store),4.7,1383,1711,53,SweetCake,40, MeituanRun ,50,25,0,39.686111,116.319707,1,1,0,1,199.4,1924,183.5,0.498,0.502,0.102,0.125,0.224,0.196,0.169,0.186,0.13,0.732,0.131,0.007,0.256,0.357,0.06,0.08,0.103,0.144,0,0
Beijing,Chaoyang District,Material Bazhen • Beef Hu Spicy Soup • Water Fried Bag • Cold Skin • Braised Noodles (Asian Games Village Store),4.7,4062,4778,20,Foods,40,MeituanFlash,83,20,0,39.982765,116.423614,1,1,0,0,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Haidian District,Zhang Jie barbecue rice crispy chicken rice (No. 6 Dehe Xin Food City),4.9,1808,2396,20,Foods,40,MeituanFlash,79,15,0,39.932701,116.276237,1,1,0,0,313.2,7271,398,0.505,0.495,0.1,0.125,0.216,0.21,0.162,0.187,0.106,0.728,0.156,0.009,0.233,0.383,0.04,0.068,0.077,0.199,0,0
Beijing,Haidian District,Pirate Shrimp Rice · Quality Meal (Zhichun Road Store),4.9,1422,3647,34,Foods,40,MeituanFlash,88,20,0,39.977292,116.3429,1,1,0,1,313.2,7271,398,0.505,0.495,0.1,0.125,0.216,0.21,0.162,0.187,0.106,0.728,0.156,0.009,0.233,0.383,0.04,0.068,0.077,0.199,0,0
Beijing,Daxing District,Megit Fried Chicken Burger (Daxing Store),4.7,2268,2988,22,Foods,40,MeituanFlash,73,20,2,39.755715,116.33688,1,1,0,0,199.4,1924,183.5,0.498,0.502,0.102,0.125,0.224,0.196,0.169,0.186,0.13,0.732,0.131,0.007,0.256,0.357,0.06,0.08,0.103,0.144,0,0
Beijing,Huairou District,"Rongrong cake room (cream cream, animal cream)",4.8,103,66,111,SweetCake,71,Merchant,0,0,0,40.363919,116.665704,1,1,0,0,44.1,208,64.2,0.503,0.497,0.101,0.131,0.24,0.198,0.166,0.165,0.157,0.613,0.203,0.027,0.222,0.416,0.045,0.073,0.075,0.169,0,0
Beijing,Daxing District,Jinmai Bakery Cake Shop,0,1,3,88,SweetCake,44, MeituanRun ,0,60,0,39.727853,116.339621,1,1,0,0,199.4,1924,183.5,0.498,0.502,0.102,0.125,0.224,0.196,0.169,0.186,0.13,0.732,0.131,0.007,0.256,0.357,0.06,0.08,0.103,0.144,0,0
Beijing,Changping District,Fudo Natural Secret Cream Birthday Cake,4.8,679,750,101,SweetCake,40, MeituanRun ,28,0,0,40.06195,116.414749,1,1,0,1,226.9,1689,204.2,0.505,0.495,0.106,0.121,0.221,0.195,0.162,0.195,0.116,0.733,0.133,0.018,0.222,0.415,0.045,0.073,0.075,0.17,0,0
Beijing,Chaoyang District,1stChicken Korean Fried Chicken (Communication University Store),4.8,3114,6007,23,Foods,41,MeituanFlash,69,15,0,39.916587,116.555145,1,1,0,0,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Dongcheng District,517 Barbecue Rice (Ciqikou Store),4.7,7620,9999,19,Foods,30,MeituanFlash,89,0,1,39.892855,116.421318,1,1,0,1,70.9,16937,362.8,0.506,0.494,0.102,0.119,2.206,0.198,0.162,0.194,0.099,0.68,0.214,0.008,0.256,0.375,0.035,0.067,0.074,0.193,0,0
Beijing,Tongzhou District,Zhang Xiumei Barbecue Rice · Crispy Chicken Rice (No. 10 Xinlong Food City Store),4.7,2010,3557,20,Foods,40,MeituanFlash,73,20,1.4,39.919372,116.677446,1,1,0,1,184,2030,234.2,0.504,0.496,0.104,0.122,0.221,0.197,0.165,0.192,0.153,0.727,0.117,0.003,0.247,0.336,0.05,0.071,0.099,0.197,0,0
Beijing,Chaoyang District,Yuan Wei Fang Spicy Pot (No. 5 Hualian Food City Store),4.7,999,2117,22,Foods,40,MeituanFlash,83,20,0,39.843231,116.447652,1,1,0,1,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Fangshan District,"Good dream round baked fried chicken, hamburger",4.9,74,77,58,SweetCake,50, MeituanRun ,33,20,1,39.73419,116.061856,1,1,0,0,131.3,660,146.8,0.505,0.495,0.098,0.132,0.224,0.196,0.169,0.181,0.158,0.683,0.151,0.008,0.222,0.416,0.045,0.073,0.075,0.169,0,0
Beijing,Chaoyang District,Pattern Barbecue • Small Waist • Crayfish (Hujiarou Store),4.6,1069,757,19,Foods,46, MeituanRun ,81,20,0,39.9211,116.467963,1,1,1,0,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
Beijing,Tongzhou District,Wangjing Xiaoyao (Majuqiao Store),4.8,3578,3582,30,Foods,50, MeituanRun ,75,20,0,39.760497,116.556082,1,1,1,0,184,2030,234.2,0.504,0.496,0.104,0.122,0.221,0.197,0.165,0.192,0.153,0.727,0.117,0.003,0.247,0.336,0.05,0.071,0.099,0.197,0,0
Beijing,Chaoyang District,Three round crayfish · seafood shrimp tail · bullfrog crab,4.6,5779,4572,53,Foods,50, MeituanRun ,0,0,0,39.989647,116.483809,1,1,1,1,345.1,7583,316.8,0.503,0.497,0.099,0.123,0.228,0.2,0.164,0.187,0.093,0.667,0.232,0.008,0.244,0.388,0.039,0.069,0.081,0.179,0,0
